Date,Temperature,Precipitation,Humidity,Wind_Speed,Daylight_Hours
1/1/2022,44,0,44,22,10
1/2/2022,48,4,53,-25,10
1/3/2022,68,1,61,27,10
1/4/2022,69,0,70,34,10
1/5/2022,63,0,73,-12,10
1/6/2022,64,0,79,14,10
1/7/2022,66,1,86,-2,10
1/8/2022,66,1,88,3,10
1/9/2022,66,0,75,-24,10
1/10/2022,71,2,59,24,10
1/11/2022,78,2,49,10,10
1/12/2022,78,0,55,-27,10
1/13/2022,70,4,60,6,10
1/14/2022,63,0,52,17,10
1/15/2022,63,2,58,-13,10
1/16/2022,69,2,56,39,10
1/17/2022,75,1,73,-22,10
1/18/2022,76,0,59,-17,10
1/19/2022,71,2,57,39,10
1/20/2022,65,3,45,33,10
1/21/2022,60,1,51,31,10
1/22/2022,58,1,52,26,10
1/23/2022,55,1,63,30,10
1/24/2022,53,3,57,-7,10
1/25/2022,49,2,62,-4,10
1/26/2022,49,0,52,15,10
1/27/2022,51,4,62,18,10
1/28/2022,53,0,55,25,10
1/29/2022,49,1,48,41,10
1/30/2022,49,0,28,21,10
1/31/2022,51,2,48,-25,10
2/1/2022,54,5,50,-28,10
2/2/2022,52,3,71,-24,10
2/3/2022,49,2,65,-8,10
2/4/2022,49,0,65,34,10
2/5/2022,54,5,62,-30,10
2/6/2022,62,3,48,0,10
2/7/2022,69,5,50,43,10
2/8/2022,76,3,47,-16,10
2/9/2022,82,1,62,12,10
2/10/2022,88,0,66,-13,10
2/11/2022,91,1,64,-26,10
2/12/2022,91,3,47,28,10
2/13/2022,86,2,57,-17,10
2/14/2022,78,0,62,41,10
2/15/2022,70,5,77,36,10
2/16/2022,62,3,63,2,10
2/17/2022,55,2,59,-10,10
2/18/2022,49,4,53,-26,10
2/19/2022,49,2,58,29,10
2/20/2022,54,4,65,25,10
2/21/2022,62,5,60,14,10
2/22/2022,69,2,54,30,10
2/23/2022,76,1,44,19,10
2/24/2022,82,4,46,10,10
2/25/2022,88,4,59,6,10
2/26/2022,91,0,60,-23,10
2/27/2022,91,0,59,33,10
2/28/2022,86,3,50,-18,10
3/1/2022,79,4,51,29,10
3/2/2022,73,5,62,-1,10
3/3/2022,68,0,79,-26,10
3/4/2022,63,2,77,-9,11
3/5/2022,58,5,76,7,11
3/6/2022,57,1,72,11,11
3/7/2022,59,1,71,0,11
3/8/2022,65,5,64,19,11
3/9/2022,70,3,52,-5,11
3/10/2022,76,3,54,-4,11
3/11/2022,82,4,49,27,11
3/12/2022,87,0,50,23,11
3/13/2022,91,0,47,-2,11
3/14/2022,91,1,44,-16,11
3/15/2022,86,2,52,-17,11
3/16/2022,78,3,54,31,11
3/17/2022,70,5,65,0,11
3/18/2022,62,5,61,-4,11
3/19/2022,59,4,56,37,11
3/20/2022,60,5,45,10,11
3/21/2022,65,3,48,-6,11
3/22/2022,70,3,57,-25,11
3/23/2022,76,2,72,-29,11
3/24/2022,82,0,76,25,11
3/25/2022,87,0,74,-11,11
3/26/2022,91,0,64,14,11
3/27/2022,91,0,56,17,11
3/28/2022,86,2,63,-29,11
3/29/2022,79,4,72,20,11
3/30/2022,73,1,63,-2,11
3/31/2022,68,2,48,4,11
4/1/2022,63,5,55,44,11
4/2/2022,58,0,68,25,11
4/3/2022,57,2,63,39,11
4/4/2022,59,1,65,9,11
4/5/2022,65,3,56,1,11
4/6/2022,70,5,73,1,11
4/7/2022,76,1,59,44,11
4/8/2022,82,3,66,41,11
4/9/2022,87,2,52,10,11
4/10/2022,91,2,54,30,11
4/11/2022,91,2,64,-10,11
4/12/2022,86,1,81,22,11
4/13/2022,79,2,72,11,11
4/14/2022,73,3,72,26,11
4/15/2022,68,1,61,-21,11
4/16/2022,63,5,64,12,11
4/17/2022,58,2,55,20,12
4/18/2022,57,5,67,-22,12
4/19/2022,59,5,85,21,12
4/20/2022,65,1,79,-4,12
4/21/2022,70,3,60,7,12
4/22/2022,76,5,50,-3,12
4/23/2022,82,1,65,11,12
4/24/2022,87,0,65,25,12
4/25/2022,91,2,72,2,12
4/26/2022,91,3,64,-4,12
4/27/2022,86,1,68,-7,12
4/28/2022,79,1,53,-25,12
4/29/2022,73,3,46,37,12
4/30/2022,68,0,38,-22,12
5/1/2022,63,5,34,36,12
5/2/2022,58,1,35,5,12
5/3/2022,57,2,51,-6,12
5/4/2022,59,3,59,-4,12
5/5/2022,65,2,57,-6,12
5/6/2022,70,3,63,12,12
5/7/2022,76,1,70,9,12
5/8/2022,82,2,82,-22,12
5/9/2022,87,0,79,-3,12
5/10/2022,91,3,74,41,12
5/11/2022,91,2,71,10,12
5/12/2022,90,1,65,-11,12
5/13/2022,85,5,69,-23,12
5/14/2022,92,3,64,-25,12
5/15/2022,90,3,60,-27,12
5/16/2022,102,5,66,-7,12
5/17/2022,95,4,71,24,12
5/18/2022,99,1,72,-6,12
5/19/2022,99,1,52,2,12
5/20/2022,97,5,39,45,12
5/21/2022,94,3,38,20,12
5/22/2022,94,0,44,-1,12
5/23/2022,99,0,47,27,12
5/24/2022,99,4,43,7,12
5/25/2022,97,3,38,22,12
5/26/2022,95,4,39,34,12
5/27/2022,101,4,54,-21,12
5/28/2022,98,4,75,-5,12
5/29/2022,105,0,72,21,12
5/30/2022,99,0,64,35,12
5/31/2022,104,3,51,0,12
6/1/2022,99,1,70,-5,12
6/2/2022,98,0,68,-10,13
6/3/2022,98,0,65,16,13
6/4/2022,92,3,58,-13,13
6/5/2022,102,3,53,7,13
6/6/2022,90,5,66,-26,13
6/7/2022,97,1,58,30,13
6/8/2022,86,2,61,14,13
6/9/2022,96,1,50,32,13
6/10/2022,100,3,49,8,13
6/11/2022,108,2,53,-2,13
6/12/2022,105,4,54,-7,13
6/13/2022,94,1,58,43,13
6/14/2022,95,5,46,-11,13
6/15/2022,101,4,48,26,13
6/16/2022,109,1,50,-20,13
6/17/2022,110,5,62,-5,13
6/18/2022,108,2,60,-26,13
6/19/2022,108,3,54,-5,13
6/20/2022,105,3,51,7,13
6/21/2022,104,4,65,-23,13
6/22/2022,102,2,67,38,13
6/23/2022,102,2,63,-5,13
6/24/2022,101,5,55,22,13
6/25/2022,101,5,47,-25,13
6/26/2022,100,5,63,17,13
6/27/2022,94,2,57,-19,13
6/28/2022,91,1,70,-30,13
6/29/2022,95,5,55,33,13
6/30/2022,99,0,55,38,13
7/1/2022,102,5,47,-19,13
7/2/2022,102,2,47,39,13
7/3/2022,98,2,45,-11,13
7/4/2022,101,5,47,27,13
7/5/2022,91,3,56,-26,13
7/6/2022,93,1,65,-9,13
7/7/2022,96,4,62,32,13
7/8/2022,99,1,54,32,13
7/9/2022,98,1,44,8,13
7/10/2022,87,1,49,-26,13
7/11/2022,92,4,63,26,13
7/12/2022,90,0,59,31,13
7/13/2022,96,1,60,-17,13
7/14/2022,88,1,58,40,13
7/15/2022,93,4,67,45,13
7/16/2022,99,5,69,1,13
7/17/2022,108,5,59,-18,13
