Date,Temperature,Precipitation,Humidity,Wind_Speed,Daylight_Hours
1/1/2022,55,5,49,37,10
1/2/2022,56,5,62,-2,10
1/3/2022,57,3,71,-5,10
1/4/2022,57,1,63,-13,10
1/5/2022,60,1,43,39,10
1/6/2022,65,1,37,13,10
1/7/2022,66,2,39,24,10
1/8/2022,67,0,39,31,10
1/9/2022,66,5,50,19,10
1/10/2022,69,2,46,-13,10
1/11/2022,68,5,54,32,10
1/12/2022,63,3,54,-5,10
1/13/2022,60,0,58,-8,10
1/14/2022,61,5,67,3,10
1/15/2022,65,5,63,-25,10
1/16/2022,68,1,54,22,10
1/17/2022,67,0,50,23,10
1/18/2022,63,4,44,19,10
1/19/2022,58,4,44,28,10
1/20/2022,56,5,53,34,10
1/21/2022,56,5,70,-12,10
1/22/2022,60,3,88,-22,10
1/23/2022,65,1,79,37,10
1/24/2022,68,0,77,-28,10
1/25/2022,67,5,78,10,10
1/26/2022,63,0,88,11,10
1/27/2022,58,4,76,-4,10
1/28/2022,56,3,77,-24,10
1/29/2022,56,5,58,-17,10
1/30/2022,60,2,68,-29,10
1/31/2022,64,5,62,25,10
2/1/2022,67,3,72,-21,10
2/2/2022,66,1,62,-26,10
2/3/2022,63,0,50,-23,10
2/4/2022,58,3,42,31,10
2/5/2022,56,0,53,34,10
2/6/2022,56,5,52,-29,10
2/7/2022,60,0,61,18,10
2/8/2022,65,4,65,16,10
2/9/2022,68,2,65,-20,10
2/10/2022,67,3,52,33,10
2/11/2022,63,0,31,35,10
2/12/2022,58,5,51,26,10
2/13/2022,56,3,53,-16,10
2/14/2022,56,1,70,-30,10
2/15/2022,60,5,54,34,10
2/16/2022,65,1,63,18,10
2/17/2022,68,3,65,-10,10
2/18/2022,67,4,58,5,10
2/19/2022,63,1,64,11,10
2/20/2022,58,1,65,-17,10
2/21/2022,56,1,67,28,10
2/22/2022,56,1,52,13,10
2/23/2022,60,0,36,-13,10
2/24/2022,65,0,44,28,10
2/25/2022,68,2,60,34,10
2/26/2022,67,1,69,5,10
2/27/2022,63,3,61,-9,10
2/28/2022,58,5,62,11,10
3/1/2022,56,2,69,39,10
3/2/2022,56,5,72,18,10
3/3/2022,60,1,52,-4,10
3/4/2022,65,3,37,36,11
3/5/2022,68,4,47,32,11
3/6/2022,67,0,59,7,11
3/7/2022,63,2,60,-15,11
3/8/2022,58,3,47,13,11
3/9/2022,56,4,54,11,11
3/10/2022,56,0,64,-7,11
3/11/2022,60,5,83,39,11
3/12/2022,65,5,81,22,11
3/13/2022,68,5,67,17,11
3/14/2022,67,1,51,42,11
3/15/2022,63,0,43,-3,11
3/16/2022,58,2,57,-6,11
3/17/2022,56,3,72,44,11
3/18/2022,56,0,64,4,11
3/19/2022,60,3,57,28,11
3/20/2022,65,0,48,-17,11
3/21/2022,68,3,67,14,11
3/22/2022,67,1,58,3,11
3/23/2022,63,5,54,44,11
3/24/2022,58,0,47,19,11
3/25/2022,56,4,51,-1,11
3/26/2022,56,5,50,19,11
3/27/2022,60,2,39,40,11
3/28/2022,65,0,34,-18,11
3/29/2022,68,2,44,8,11
3/30/2022,67,5,50,13,11
3/31/2022,63,2,50,31,11
4/1/2022,61,3,47,-6,11
4/2/2022,63,5,51,18,11
4/3/2022,68,2,71,31,11
4/4/2022,73,1,79,-25,11
4/5/2022,78,3,68,-25,11
4/6/2022,83,4,58,31,11
4/7/2022,88,3,57,12,11
4/8/2022,99,4,63,22,11
4/9/2022,103,2,75,18,11
4/10/2022,103,4,60,-30,11
4/11/2022,96,5,58,-29,11
4/12/2022,98,1,55,-8,11
4/13/2022,106,4,66,15,11
4/14/2022,109,5,71,27,11
4/15/2022,105,5,65,-24,11
4/16/2022,99,0,72,-14,11
4/17/2022,96,1,76,0,12
4/18/2022,97,4,82,9,12
4/19/2022,102,0,66,8,12
4/20/2022,101,5,70,-11,12
4/21/2022,99,4,69,-17,12
4/22/2022,101,4,85,-20,12
4/23/2022,108,1,84,-3,12
4/24/2022,107,1,87,32,12
4/25/2022,105,4,77,30,12
4/26/2022,102,4,81,37,12
4/27/2022,110,3,78,3,12
4/28/2022,104,3,89,-27,12
4/29/2022,106,0,68,-9,12
4/30/2022,102,4,52,9,12
5/1/2022,109,2,38,-2,12
5/2/2022,107,0,37,-2,12
5/3/2022,111,5,41,-27,12
5/4/2022,108,5,42,42,12
5/5/2022,107,4,52,-17,12
5/6/2022,105,3,56,6,12
5/7/2022,100,3,52,34,12
5/8/2022,106,3,61,-28,12
5/9/2022,101,4,71,17,12
5/10/2022,102,5,80,-3,12
5/11/2022,95,1,69,19,12
5/12/2022,94,4,65,3,12
5/13/2022,100,3,56,44,12
5/14/2022,102,1,54,12,12
5/15/2022,103,3,52,33,12
5/16/2022,104,5,65,-18,12
5/17/2022,106,3,68,7,12
5/18/2022,108,3,72,7,12
5/19/2022,103,5,56,40,12
5/20/2022,101,4,52,6,12
5/21/2022,105,4,43,-12,12
5/22/2022,110,2,51,11,12
5/23/2022,108,4,49,36,12
5/24/2022,106,5,47,15,12
5/25/2022,104,5,47,4,12
5/26/2022,109,4,59,30,12
5/27/2022,107,1,68,-3,12
5/28/2022,107,1,66,9,12
5/29/2022,108,4,58,9,12
5/30/2022,110,5,59,6,12
5/31/2022,109,5,61,19,12
6/1/2022,102,4,73,1,12
6/2/2022,103,5,61,-21,13
6/3/2022,105,4,56,23,13
6/4/2022,107,5,36,-19,13
6/5/2022,105,5,33,32,13
6/6/2022,104,5,41,16,13
6/7/2022,110,0,52,36,13
6/8/2022,107,2,50,9,13
6/9/2022,101,3,42,0,13
6/10/2022,93,0,33,-3,13
6/11/2022,99,5,49,-9,13
6/12/2022,101,4,63,17,13
6/13/2022,106,3,72,4,13
6/14/2022,107,2,62,-19,13
6/15/2022,113,5,66,20,13
6/16/2022,113,4,58,29,13
6/17/2022,112,3,67,33,13
6/18/2022,103,5,66,14,13
6/19/2022,98,4,79,28,13
6/20/2022,100,2,73,34,13
6/21/2022,108,1,71,26,13
6/22/2022,110,0,58,10,13
6/23/2022,107,1,71,24,13
6/24/2022,107,1,57,40,13
6/25/2022,110,0,58,-1,13
6/26/2022,110,2,40,2,13
6/27/2022,101,0,38,38,13
6/28/2022,104,1,46,-1,13
6/29/2022,100,2,61,45,13
6/30/2022,110,2,75,20,13
7/1/2022,106,2,73,21,13
7/2/2022,105,1,60,-26,13
7/3/2022,97,1,63,6,13
7/4/2022,95,1,71,-25,13
7/5/2022,96,3,83,-24,13
7/6/2022,96,0,81,26,13
7/7/2022,99,0,75,28,13
7/8/2022,104,0,74,-13,13
7/9/2022,106,0,76,28,13
7/10/2022,109,0,85,-28,13
7/11/2022,106,0,85,22,13
7/12/2022,102,0,69,29,13
7/13/2022,102,0,51,-7,13
7/14/2022,100,0,40,10,13
7/15/2022,107,0,41,9,13
7/16/2022,100,0,60,11,13
7/17/2022,107,0,76,-13,13
7/18/2022,109,0,91,-8,13
7/19/2022,113,0,87,17,13
7/20/2022,106,0,82,6,13
7/21/2022,106,0,69,35,13
7/22/2022,102,0,64,32,13
7/23/2022,107,0,49,-3,13
7/24/2022,100,0,55,29,13
7/25/2022,99,0,41,37,13
7/26/2022,95,0,49,-21,13
7/27/2022,99,0,56,8,13
7/28/2022,107,0,76,-19,13
7/29/2022,110,0,85,-5,13
7/30/2022,108,0,74,38,13
7/31/2022,108,0,70,14,13
8/1/2022,109,0,54,12,13
8/2/2022,109,0,52,41,13
8/3/2022,103,0,37,25,13
8/4/2022,97,0,41,23,13
8/5/2022,95,0,51,21,13
8/6/2022,103,0,57,41,13
8/7/2022,105,0,53,-16,13
8/8/2022,108,0,49,35,13
8/9/2022,100,0,58,31,13
8/10/2022,106,0,75,-22,13
8/11/2022,109,0,65,30,13
8/12/2022,117,0,58,14,13
8/13/2022,113,0,39,15,13
8/14/2022,105,0,56,20,13
8/15/2022,98,0,53,-1,13
8/16/2022,97,0,61,-18,13
8/17/2022,100,0,59,30,13
8/18/2022,103,0,59,-6,13
8/19/2022,108,0,56,41,13
8/20/2022,109,0,37,28,13
8/21/2022,111,0,45,-15,12
8/22/2022,104,0,50,30,12
8/23/2022,103,0,58,-22,12
8/24/2022,103,0,62,33,12
8/25/2022,105,0,57,24,12
8/26/2022,104,0,65,-29,12
8/27/2022,99,0,60,24,12
8/28/2022,98,0,73,-11,12
8/29/2022,99,0,66,42,12
8/30/2022,100,0,64,39,12
8/31/2022,103,0,58,13,12
9/1/2022,101,0,51,45,12
9/2/2022,103,5,41,39,12
9/3/2022,101,5,50,-20,12
9/4/2022,103,5,60,-20,12
9/5/2022,104,2,66,-20,12
9/6/2022,107,1,53,-15,12
9/7/2022,113,1,54,-7,12
9/8/2022,106,3,53,-23,12
9/9/2022,104,4,57,-11,12
9/10/2022,104,3,58,10,12
9/11/2022,106,1,63,-12,12
9/12/2022,104,0,68,37,12
9/13/2022,102,1,69,10,12
9/14/2022,105,3,67,36,12
9/15/2022,110,0,64,20,12
9/16/2022,112,3,59,-30,12
9/17/2022,111,2,66,17,12
9/18/2022,107,0,71,8,12
9/19/2022,98,4,80,-20,12
9/20/2022,95,1,79,35,12
9/21/2022,97,2,77,14,12
9/22/2022,103,2,66,-10,12
9/23/2022,103,4,60,31,12
9/24/2022,104,3,45,-30,12
9/25/2022,99,2,49,-10,12
9/26/2022,103,2,44,-1,12
9/27/2022,103,5,43,0,11
9/28/2022,108,0,52,-10,11
9/29/2022,112,5,65,36,11
9/30/2022,109,1,77,10,11
10/1/2022,111,2,71,-15,11
10/2/2022,108,5,63,6,11
10/3/2022,111,3,57,29,11
10/4/2022,104,3,45,43,11
10/5/2022,105,3,55,-6,11
10/6/2022,99,3,70,25,11
10/7/2022,102,1,72,30,11
10/8/2022,96,5,65,16,11
10/9/2022,102,5,61,3,11
