Date,Temperature ,Precipitation ,Humidity,Wind_Speed,Daylight_Hours
1/1/2022,65,2,57,38,10
1/2/2022,59,4,68,-20,10
1/3/2022,51,4,70,-25,10
1/4/2022,54,3,68,41,10
1/5/2022,53,5,68,10,10
1/6/2022,54,5,81,-22,10
1/7/2022,56,5,69,-15,10
1/8/2022,52,0,50,-14,10
1/9/2022,51,2,42,42,10
1/10/2022,48,5,39,27,10
1/11/2022,49,2,40,-12,10
1/12/2022,56,0,43,28,10
1/13/2022,53,1,43,44,10
1/14/2022,52,3,58,11,10
1/15/2022,50,1,52,37,10
1/16/2022,56,4,53,8,10
1/17/2022,56,3,53,27,10
1/18/2022,55,5,64,23,10
1/19/2022,53,3,69,17,10
1/20/2022,58,1,55,45,10
1/21/2022,60,4,37,37,10
1/22/2022,61,2,43,23,10
1/23/2022,56,4,43,5,10
1/24/2022,51,2,51,-20,10
1/25/2022,51,3,57,-24,10
1/26/2022,52,2,61,44,10
1/27/2022,55,0,58,-5,10
1/28/2022,55,1,59,-22,10
1/29/2022,58,0,58,-7,10
1/30/2022,56,5,59,40,10
1/31/2022,55,0,63,-20,10
2/1/2022,54,0,78,22,10
2/2/2022,57,2,84,-15,10
2/3/2022,59,1,62,34,10
2/4/2022,59,5,46,24,10
2/5/2022,58,1,51,-14,10
2/6/2022,55,4,58,-11,10
2/7/2022,52,5,67,18,10
2/8/2022,51,5,56,38,10
2/9/2022,52,0,48,-21,10
2/10/2022,55,3,55,-10,10
2/11/2022,58,4,52,17,10
2/12/2022,60,0,67,2,10
2/13/2022,62,4,56,1,10
2/14/2022,65,1,63,-16,10
2/15/2022,67,1,50,16,10
2/16/2022,69,5,53,18,10
2/17/2022,71,2,44,37,10
2/18/2022,73,1,48,22,10
2/19/2022,75,5,48,-1,10
2/20/2022,77,3,59,-5,10
2/21/2022,79,3,54,10,10
2/22/2022,81,5,54,34,10
2/23/2022,83,3,47,-15,10
2/24/2022,85,2,65,-14,10
2/25/2022,87,4,70,44,10
2/26/2022,89,4,65,10,10
2/27/2022,91,2,50,22,10
2/28/2022,93,5,39,34,10
3/1/2022,88,3,55,-27,10
3/2/2022,85,1,53,29,10
3/3/2022,80,4,62,45,10
3/4/2022,82,4,52,-18,11
3/5/2022,80,2,71,28,11
3/6/2022,77,2,54,15,11
3/7/2022,76,2,60,1,11
3/8/2022,76,5,56,11,11
3/9/2022,79,0,77,-26,11
3/10/2022,80,0,67,34,11
3/11/2022,83,4,62,-14,11
3/12/2022,83,3,56,-6,11
3/13/2022,82,2,73,-16,11
3/14/2022,82,3,79,-29,11
3/15/2022,81,1,79,-7,11
3/16/2022,76,4,80,-26,11
3/17/2022,70,3,60,1,11
3/18/2022,67,2,57,8,11
3/19/2022,68,0,47,0,11
3/20/2022,70,3,64,25,11
3/21/2022,66,1,61,-8,11
3/22/2022,60,2,57,34,11
3/23/2022,56,3,46,-23,11
3/24/2022,62,2,60,1,11
3/25/2022,69,3,65,6,11
3/26/2022,78,0,82,24,11
3/27/2022,81,5,77,3,11
3/28/2022,82,5,73,43,11
3/29/2022,83,0,52,-1,11
3/30/2022,83,3,42,-10,11
3/31/2022,81,2,45,9,11
4/1/2022,80,2,67,39,11
4/2/2022,77,2,70,-29,11
4/3/2022,77,5,72,37,11
4/4/2022,71,4,64,27,11
4/5/2022,71,1,64,21,11
4/6/2022,74,5,58,-9,11
4/7/2022,81,1,47,17,11
4/8/2022,83,2,51,30,11
4/9/2022,84,1,63,11,11
4/10/2022,82,5,59,-1,11
4/11/2022,82,4,67,-29,11
4/12/2022,75,4,58,26,11
4/13/2022,68,2,59,24,11
4/14/2022,64,3,49,-21,11
4/15/2022,67,1,56,3,11
4/16/2022,70,5,77,25,11
4/17/2022,72,0,82,-16,12
4/18/2022,73,0,78,-12,12
4/19/2022,76,5,71,45,12
4/20/2022,78,4,61,-6,12
4/21/2022,79,2,63,-14,12
4/22/2022,81,2,64,41,12
4/23/2022,83,1,77,-17,12
4/24/2022,83,3,67,-18,12
4/25/2022,81,3,66,44,12
4/26/2022,78,3,60,19,12
4/27/2022,78,0,69,37,12
4/28/2022,81,0,58,-18,12
4/29/2022,83,0,58,12,12
4/30/2022,81,0,51,-15,12
5/1/2022,80,0,64,32,12
5/2/2022,77,0,71,-21,12
5/3/2022,77,0,87,-16,12
5/4/2022,71,0,82,26,12
5/5/2022,71,0,79,19,12
5/6/2022,74,0,75,4,12
5/7/2022,81,0,71,-19,12
5/8/2022,83,0,75,-23,12
5/9/2022,84,0,74,10,12
5/10/2022,82,0,73,45,12
5/11/2022,82,0,61,11,12
5/12/2022,75,0,56,21,12
5/13/2022,68,0,55,-28,12
5/14/2022,64,0,51,-27,12
5/15/2022,67,0,49,-29,12
5/16/2022,70,0,43,36,12
5/17/2022,72,0,51,18,12
5/18/2022,73,0,53,-18,12
5/19/2022,76,0,61,16,12
5/20/2022,78,0,65,-27,12
5/21/2022,79,0,56,28,12
5/22/2022,81,0,53,23,12
5/23/2022,83,0,55,24,12
5/24/2022,83,0,65,-19,12
5/25/2022,81,0,73,-28,12
5/26/2022,78,0,68,-2,12
5/27/2022,78,0,70,21,12
5/28/2022,81,0,68,34,12
5/29/2022,83,0,75,36,12
