Date,Temperature,Precipitation,Humidity,Wind_Speed,Daylight_Hours
1/1/2022,39,1,69,43,10
1/2/2022,44,3,82,8,10
1/3/2022,50,0,60,33,10
1/4/2022,55,0,63,41,10
1/5/2022,59,3,60,-13,10
1/6/2022,65,3,71,39,10
1/7/2022,62,0,66,-1,10
1/8/2022,60,0,61,-26,10
1/9/2022,60,0,62,28,10
1/10/2022,65,1,53,-12,10
1/11/2022,69,2,51,43,10
1/12/2022,69,1,57,-25,10
1/13/2022,69,3,61,-23,10
1/14/2022,61,0,50,-4,10
1/15/2022,56,2,39,45,10
1/16/2022,50,2,47,8,10
1/17/2022,50,2,61,-21,10
1/18/2022,49,3,78,-12,10
1/19/2022,48,0,84,37,10
1/20/2022,50,0,78,17,10
1/21/2022,56,2,71,2,10
1/22/2022,60,3,62,37,10
1/23/2022,63,1,54,3,10
1/24/2022,61,1,52,34,10
1/25/2022,61,2,40,-23,10
1/26/2022,64,3,61,22,10
1/27/2022,67,3,50,24,10
1/28/2022,66,1,71,21,10
1/29/2022,64,0,58,37,10
1/30/2022,63,3,57,30,10
1/31/2022,65,0,54,35,10
2/1/2022,66,1,68,-22,10
2/2/2022,65,1,89,31,10
2/3/2022,67,0,94,24,10
2/4/2022,60,3,76,-11,10
2/5/2022,55,2,55,5,10
2/6/2022,54,3,46,18,10
2/7/2022,58,3,57,-9,10
2/8/2022,61,0,73,9,10
2/9/2022,59,1,68,23,10
2/10/2022,57,3,57,32,10
2/11/2022,57,3,57,-17,10
2/12/2022,53,1,71,-8,10
2/13/2022,56,0,69,6,10
2/14/2022,57,1,68,45,10
2/15/2022,61,2,50,32,10
2/16/2022,60,1,52,-8,10
2/17/2022,62,3,55,9,10
2/18/2022,62,0,72,22,10
2/19/2022,59,3,77,13,10
2/20/2022,53,2,77,-13,10
2/21/2022,51,0,74,9,10
2/22/2022,56,1,67,-15,10
2/23/2022,60,0,65,40,10
2/24/2022,60,2,59,14,10
2/25/2022,62,0,58,-13,10
2/26/2022,62,1,47,-19,10
2/27/2022,64,1,54,37,10
2/28/2022,60,0,72,35,10
3/1/2022,57,1,75,0,10
3/2/2022,53,3,56,22,10
3/3/2022,57,0,61,-13,10
3/4/2022,59,0,73,10,11
3/5/2022,56,0,84,-11,11
3/6/2022,51,0,61,22,11
3/7/2022,52,0,43,-19,11
3/8/2022,59,0,37,-26,11
3/9/2022,61,0,46,29,11
3/10/2022,60,0,56,16,11
3/11/2022,57,0,52,7,11
3/12/2022,61,0,52,9,11
3/13/2022,60,0,52,-14,11
3/14/2022,62,0,68,20,11
3/15/2022,55,0,61,-7,11
3/16/2022,60,0,50,38,11
3/17/2022,53,0,48,13,11
3/18/2022,61,0,56,-22,11
3/19/2022,60,0,59,44,11
3/20/2022,60,0,45,-7,11
3/21/2022,59,0,41,6,11
3/22/2022,54,0,49,-2,11
3/23/2022,58,0,65,-18,11
3/24/2022,54,0,63,18,11
3/25/2022,52,0,51,8,11
3/26/2022,51,0,39,5,11
3/27/2022,49,0,58,35,11
3/28/2022,49,0,64,40,11
3/29/2022,54,0,67,-9,11
3/30/2022,53,0,47,5,11
